# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Apr 30 11:20:43 CDT 2022 [seed=1651335642522]
# cytb_species.xml
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
38000	-15435.993252415825	-20.75896122269577	-15415.234291193128	0.7341876655943671	4.167146426360685	0.9995670273470474	3.425956855598732	0.28727597046378295	0.27246881188602456	0.1607760354676214	0.279479182182571	1.0	1.0	-15415.234291193128	0.0	-20.160559002432233
39000	-15430.487065493564	-21.53979611550784	-15408.947269378055	0.7308930747928793	4.226618043033628	0.965533657985603	3.612843887379257	0.29213846434428653	0.2606682054684175	0.1593152782601769	0.28787805192711896	1.0	1.0	-15408.947269378055	0.0	-20.91415256088466
40000	-15430.659431000528	-23.03238302281328	-15407.627047977714	0.6763475087493116	4.085460103134996	1.2925411462113365	3.612843887379257	0.2908621081945623	0.2606682054684175	0.1605916344099011	0.28787805192711896	1.0	1.0	-15407.627047977714	0.0	-22.115054989661292
41000	-15433.548204772687	-21.368012971266445	-15412.18019180142	0.6918651763564071	3.9705509187222288	0.5810927374158258	3.4539734873393715	0.28282516717461736	0.2654349290595477	0.1587030797032266	0.29303682406260817	1.0	1.0	-15412.18019180142	0.0	-21.302650811476855
42000	-15432.084937880798	-22.844599920029204	-15409.24033796077	0.7199205378273907	4.1870919703200205	1.221110369082359	3.6324360160645126	0.283813975527158	0.2671957284098821	0.16002760140024985	0.2889626946627099	1.0	1.0	-15409.24033796077	0.0	-21.97771912642344
43000	-15428.57197848002	-20.55037927638559	-15408.021599203636	0.724923095742244	4.161812233678987	0.9240735861139425	3.288070960222389	0.284558873435519	0.2633381444825238	0.1576988304384816	0.2944041516434755	1.0	1.0	-15408.021599203636	0.0	-20.077130536755675
44000	-15428.695415029917	-20.87900916247999	-15407.816405867437	0.7113302534601788	4.1701710912516186	0.9050109508831558	3.288070960222389	0.28311411703900363	0.26714952684119697	0.1576988304384816	0.2920375256813177	1.0	1.0	-15407.816405867437	0.0	-20.426605085922127
45000	-15424.512272318518	-21.126643118200573	-15403.385629200317	0.7072593380133542	4.133482667504868	0.9108374311878886	3.288070960222389	0.2868360274478983	0.2634675969333697	0.15616561387152367	0.2935307617472082	1.0	1.0	-15403.385629200317	0.0	-20.667821655303445
46000	-15429.446677407266	-20.517132891513256	-15408.929544515753	0.7178138592778084	4.148991036868685	0.7990054108246469	3.288070960222389	0.2868360274478983	0.27188392576946085	0.15591556225825723	0.28536448452438345	1.0	1.0	-15408.929544515753	0.0	-20.189308141266338
47000	-15431.796560064386	-21.77621400336154	-15410.020346061025	0.7314776479400756	4.209897315641671	1.0408049044817214	3.5380822616140923	0.2953692646226688	0.258692775929253	0.15974608458526407	0.286191874862814	1.0	1.0	-15410.020346061025	0.0	-21.10007955056332
48000	-15427.741561605293	-21.64461714235249	-15406.09694446294	0.7572415442795278	4.209440537004509	0.6351895261039651	3.4918018333726586	0.29215469693938995	0.258692775929253	0.16296065226854295	0.286191874862814	1.0	1.0	-15406.09694446294	0.0	-21.477641579917726
49000	-15434.08229309164	-21.293142089203133	-15412.789151002436	0.7887033139817196	4.349345120822321	0.8324941334822156	3.498481520870069	0.28997821194097645	0.26298378631230923	0.1594792203347441	0.28755878141197017	1.0	1.0	-15412.789151002436	0.0	-20.853445175318377
