# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat Apr 30 11:20:19 CDT 2022 [seed=1651335618860]
# 16s_species.xml
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
61000	-37052.355628629	-18.840452937398595	-37033.515175691595	0.21027851137938194	2.5414822560443167	0.818253639823856	2.7011910423922725	0.32257184197890026	0.2597319245933525	0.12073502382994566	0.29696120959780176	1.0	1.0	-37033.515175691595	0.0	-18.697007707084364
62000	-37052.24742004756	-19.858385667150554	-37032.38903438041	0.21984224015315187	2.6528662064609176	0.7166556821954766	2.7011910423922725	0.32257184197890026	0.2632629616476879	0.11605913109498227	0.2981060652784297	1.0	1.0	-37032.38903438041	0.0	-19.847517293343593
63000	-37051.09739260509	-21.056110623049772	-37030.041281982034	0.226126728341573	2.7020726432103848	0.6756319890637159	2.81906700258774	0.3172338490493098	0.2555735457053772	0.12374854703729296	0.3034440582080202	1.0	1.0	-37030.041281982034	0.0	-21.061064647287033
64000	-37059.38151287871	-21.96572241618492	-37037.415790462524	0.2271274066453652	2.6926181680505707	1.1498880829241873	2.8832939619335556	0.324514299692354	0.2555735457053772	0.11791175597645157	0.30200039862581735	1.0	1.0	-37037.415790462524	0.0	-21.415690399399722
65000	-37055.29719055641	-21.755108019057708	-37033.54208253735	0.2215194348152455	2.7783721949435582	0.8338489181312685	2.6176338347937635	0.31931599610045114	0.2577057674686695	0.12069329191748832	0.30228494451339116	1.0	1.0	-37033.54208253735	0.0	-21.62376213917951
66000	-37051.388184164876	-20.99930773285602	-37030.38887643202	0.21598114072560287	2.7013741789829884	0.7625879211530203	2.7857638946969834	0.32280597777217196	0.25497947111067776	0.11783354504196117	0.30438100607518925	1.0	1.0	-37030.38887643202	0.0	-20.895308036562042
67000	-37050.621785376694	-20.318716711763578	-37030.30306866493	0.22359525858043236	2.6576555648881715	0.8208169287923432	2.765949990251605	0.3265931669921484	0.255285110358012	0.11783354504196117	0.30028817760787857	1.0	1.0	-37030.30306866493	0.0	-20.14836841684697
68000	-37049.72673481084	-21.140877417295883	-37028.58585739355	0.2222401287551155	2.7149285395474974	0.974253401551642	2.7051784936345573	0.32447199390797726	0.2557464259054523	0.12481245197509955	0.29496912821147103	1.0	1.0	-37028.58585739355	0.0	-20.821463276948823
69000	-37054.154514458576	-20.950397599452415	-37033.204116859124	0.22460636314685148	2.699524879373822	0.9475744172127026	2.7890451618268615	0.31936156124066656	0.25591480264971556	0.12481245197509955	0.2999111841345185	1.0	1.0	-37033.204116859124	0.0	-20.628014142075603
70000	-37060.183921456395	-19.68771171344712	-37040.496209742945	0.2169083473620834	2.6179748871940767	0.7082680626039671	3.018847803607178	0.32316798915570083	0.25282567373927456	0.12481245197509955	0.29919388512992523	1.0	1.0	-37040.496209742945	0.0	-19.57392687818043
71000	-37068.0467076649	-23.53552536402646	-37044.51118230087	0.2297776696431859	2.64745632384391	1.4828361236744745	2.967546572441516	0.3218705759353495	0.25555190375548537	0.12460388333694844	0.29797363697221685	1.0	1.0	-37044.51118230087	0.0	-22.701047445373554
72000	-37051.25687783001	-21.40649209115062	-37029.850385738864	0.22300602343236953	2.703250147843028	1.0941212184774693	2.693258829064437	0.320144883550237	0.2604393119085919	0.11916529795843754	0.3002505065827337	1.0	1.0	-37029.850385738864	0.0	-20.975438685427164
73000	-37056.02154762808	-17.968472689886806	-37038.053074938194	0.21485216304328952	2.542073110931056	0.7089595404065097	2.8051666964654807	0.320144883550237	0.2548839583647153	0.1199725212126946	0.30499863687235323	1.0	1.0	-37038.053074938194	0.0	-17.930327155088378
74000	-37054.30074794675	-21.153510159228446	-37033.14723778752	0.22154887696900097	2.702761420940178	1.0689467319411543	2.8811250879533428	0.32728970960818216	0.26119026349318697	0.11685686860384438	0.2946631582947866	1.0	1.0	-37033.14723778752	0.0	-20.67724966510787
75000	-37054.04839306063	-20.4014003378333	-37033.646992722795	0.221147650374526	2.6810963355220494	0.9121298098864759	2.6148472113040446	0.32596898504212585	0.25519991734855735	0.1208895751054983	0.2979415225038186	1.0	1.0	-37033.646992722795	0.0	-20.18136341816445
76000	-37048.57971096199	-23.652980172034063	-37024.92673078996	0.2184818415359235	2.700234977842246	1.402958208417809	2.8506871416354844	0.32596898504212585	0.25519991734855735	0.1208895751054983	0.2979415225038186	1.0	1.0	-37024.92673078996	0.0	-22.915790648670253
77000	-37047.28995804205	-20.482864927168848	-37026.80709311488	0.21971766408149143	2.6219103075539456	0.632760886177722	2.713987981014652	0.32178415182296655	0.2546805401010755	0.1215730316688762	0.30196227640708184	1.0	1.0	-37026.80709311488	0.0	-20.59178505448027
78000	-37044.03017347313	-20.71629510410806	-37023.31387836902	0.2233534574095898	2.697574822987321	0.8471153803031392	2.8789365340659105	0.32052497408752467	0.255264752575029	0.1215730316688762	0.3026372416685702	1.0	1.0	-37023.31387836902	0.0	-20.473414799634206
79000	-37047.58049281592	-21.6733704196963	-37025.907122396224	0.22326811564416513	2.736642659817405	0.7161885757853116	2.7971816435254198	0.32047784659110873	0.255264752575029	0.12103974765049767	0.3032176531833647	1.0	1.0	-37025.907122396224	0.0	-21.627985249398602
80000	-37052.629423837214	-21.753542880222433	-37030.87588095699	0.21893228608650742	2.7384121441662996	0.9953908137116665	2.7971816435254198	0.32047784659110873	0.255264752575029	0.12103974765049767	0.3032176531833647	1.0	1.0	-37030.87588095699	0.0	-21.37896577856904
81000	-37052.869882460356	-19.78171067809771	-37033.088171782256	0.2152087538639129	2.622459893514382	0.7930133448239653	2.6632344267534034	0.32051180380829963	0.25303640968476254	0.12103974765049767	0.30541203885644025	1.0	1.0	-37033.088171782256	0.0	-19.683628019801475
82000	-37050.19688492317	-19.87313673536998	-37030.3237481878	0.2180779736041836	2.653913390156055	0.8607694401813958	2.903492137004914	0.32051180380829963	0.25701422891908393	0.12278078289314473	0.2996931843794718	1.0	1.0	-37030.3237481878	0.0	-19.60543821620731
83000	-37050.43939809398	-19.35626642274822	-37031.08313167123	0.2177529785833304	2.606668089246807	0.8189663540034757	2.749045364060798	0.32208138380641044	0.26307248087289375	0.11997563696526889	0.294870498355427	1.0	1.0	-37031.08313167123	0.0	-19.194361847499124
84000	-37051.38175653205	-20.854295017387322	-37030.52746151466	0.22223821144970235	2.663844317423132	0.6133520702180365	2.749045364060798	0.3208169374364836	0.25759151531601615	0.1246906396418156	0.2969009076056847	1.0	1.0	-37030.52746151466	0.0	-20.98149433260774
85000	-37048.63416950694	-18.43692788534493	-37030.197241621594	0.22060703383378302	2.566647535113009	0.8457306117782315	2.7253535235298054	0.32380668942904445	0.2516635852347216	0.1246906396418156	0.2998390856944184	1.0	1.0	-37030.197241621594	0.0	-18.251559352758328
86000	-37052.03496777613	-20.278058611637825	-37031.7569091645	0.22653720635014363	2.6627916243712417	0.689879091754248	2.9186152842714477	0.33242026361836785	0.25026245787828344	0.11806960800800259	0.2992476704953462	1.0	1.0	-37031.7569091645	0.0	-20.226247546623902
